type,key,latency_ms,status_code,stale,version,rw_interval_ms
read,key-2,32.38,404,false,0,0.00
read,key-14,39.79,404,false,0,0.00
read,key-7,81.44,404,false,0,0.00
read,key-13,91.26,404,false,0,0.00
read,key-9,94.47,404,false,0,0.00
read,key-4,96.25,404,false,0,0.00
read,key-2,103.94,404,false,0,0.00
read,key-11,106.72,404,false,0,0.00
read,key-18,6.24,404,false,0,0.00
read,key-13,135.90,404,false,0,0.00
read,key-12,144.02,404,false,0,0.00
read,key-11,146.94,404,false,0,0.00
read,key-14,107.63,404,false,0,0.00
read,key-17,150.94,404,false,0,0.00
read,key-6,151.24,404,false,0,0.00
read,key-8,135.90,404,false,0,0.00
read,key-15,60.87,404,false,0,0.00
read,key-2,160.48,404,false,0,0.00
read,key-9,163.48,404,false,0,0.00
read,key-3,165.21,404,false,0,0.00
read,key-7,132.83,404,false,0,0.00
read,key-14,81.69,404,false,0,0.00
read,key-9,166.22,404,false,0,0.00
read,key-13,75.66,404,false,0,0.00
read,key-1,60.00,404,false,0,0.00
read,key-5,166.22,404,false,0,0.00
read,key-9,170.61,404,false,0,0.00
read,key-9,79.54,404,false,0,0.00
read,key-4,65.88,404,false,0,0.00
read,key-10,36.00,404,false,0,0.00
read,key-1,38.99,404,false,0,0.00
read,key-17,33.31,404,false,0,0.00
read,key-7,74.14,404,false,0,0.00
read,key-12,76.94,404,false,0,0.00
read,key-9,72.36,404,false,0,0.00
read,key-4,76.49,404,false,0,0.00
read,key-14,72.49,404,false,0,0.00
read,key-8,93.09,404,false,0,0.00
read,key-16,97.14,404,false,0,0.00
read,key-10,80.64,404,false,0,0.00
read,key-7,80.31,404,false,0,0.00
read,key-16,80.83,404,false,0,0.00
read,key-11,11.05,404,false,0,0.00
read,key-8,113.66,404,false,0,0.00
read,key-15,83.34,404,false,0,0.00
read,key-7,81.83,404,false,0,0.00
read,key-4,86.88,404,false,0,0.00
read,key-2,79.44,404,false,0,0.00
read,key-19,67.26,404,false,0,0.00
read,key-2,83.24,404,false,0,0.00
read,key-2,9.28,404,false,0,0.00
read,key-9,71.60,404,false,0,0.00
read,key-4,56.08,404,false,0,0.00
read,key-9,11.96,404,false,0,0.00
read,key-11,17.00,404,false,0,0.00
read,key-9,17.58,404,false,0,0.00
read,key-3,13.14,404,false,0,0.00
read,key-17,14.82,404,false,0,0.00
read,key-6,8.10,404,false,0,0.00
read,key-5,52.91,404,false,0,0.00
read,key-3,55.60,404,false,0,0.00
read,key-4,55.79,404,false,0,0.00
read,key-7,55.86,404,false,0,0.00
read,key-11,54.09,404,false,0,0.00
read,key-14,56.64,404,false,0,0.00
read,key-7,2.08,404,false,0,0.00
read,key-1,57.52,404,false,0,0.00
read,key-12,57.48,404,false,0,0.00
write,key-16,144.88,201,false,1,0.00
read,key-13,63.81,404,false,0,0.00
read,key-7,68.74,404,false,0,0.00
read,key-10,67.67,404,false,0,0.00
read,key-17,61.68,404,false,0,0.00
read,key-6,1.73,404,false,0,0.00
read,key-10,3.59,404,false,0,0.00
read,key-5,71.42,404,false,0,0.00
read,key-11,75.89,404,false,0,0.00
read,key-11,58.28,404,false,0,0.00
read,key-12,59.29,404,false,0,0.00
read,key-12,61.26,404,false,0,0.00
read,key-6,60.47,404,false,0,0.00
read,key-5,78.58,404,false,0,0.00
read,key-13,54.05,404,false,0,0.00
read,key-5,52.66,404,false,0,0.00
read,key-2,8.83,404,false,0,0.00
read,key-13,53.43,404,false,0,0.00
read,key-11,53.05,404,false,0,0.00
read,key-7,15.80,404,false,0,0.00
read,key-8,53.51,404,false,0,0.00
read,key-6,52.97,404,false,0,0.00
read,key-19,16.99,404,false,0,0.00
read,key-3,20.26,404,false,0,0.00
read,key-14,52.21,404,false,0,0.00
read,key-5,52.67,404,false,0,0.00
read,key-13,9.66,404,false,0,0.00
read,key-13,6.02,404,false,0,0.00
read,key-1,55.41,404,false,0,0.00
read,key-15,3.55,404,false,0,0.00
read,key-15,53.27,404,false,0,0.00
read,key-8,58.27,404,false,0,0.00
read,key-17,3.12,404,false,0,0.00
read,key-2,3.08,404,false,0,0.00
read,key-3,55.67,404,false,0,0.00
read,key-12,59.54,404,false,0,0.00
read,key-10,1.94,404,false,0,0.00
read,key-18,61.73,404,false,0,0.00
read,key-15,64.71,404,false,0,0.00
read,key-9,64.03,404,false,0,0.00
read,key-18,64.43,404,false,0,0.00
read,key-1,66.94,404,false,0,0.00
read,key-18,63.85,404,false,0,0.00
read,key-13,65.99,404,false,0,0.00
read,key-12,63.36,404,false,0,0.00
read,key-1,61.09,404,false,0,0.00
read,key-5,60.53,404,false,0,0.00
read,key-11,3.42,404,false,0,0.00
read,key-1,61.50,404,false,0,0.00
read,key-10,58.07,404,false,0,0.00
read,key-5,59.45,404,false,0,0.00
read,key-0,56.96,404,false,0,0.00
read,key-19,53.14,404,false,0,0.00
read,key-17,6.16,404,false,0,0.00
read,key-9,52.25,404,false,0,0.00
read,key-14,53.71,404,false,0,0.00
read,key-9,52.08,404,false,0,0.00
read,key-0,2.29,404,false,0,0.00
read,key-4,52.43,404,false,0,0.00
read,key-1,4.70,404,false,0,0.00
read,key-17,51.77,404,false,0,0.00
read,key-11,53.45,404,false,0,0.00
read,key-19,53.15,404,false,0,0.00
read,key-7,52.65,404,false,0,0.00
read,key-14,2.08,404,false,0,0.00
read,key-15,53.16,404,false,0,0.00
read,key-4,53.67,404,false,0,0.00
read,key-9,51.79,404,false,0,0.00
read,key-5,52.83,404,false,0,0.00
read,key-10,2.68,404,false,0,0.00
read,key-10,52.99,404,false,0,0.00
read,key-9,56.07,404,false,0,0.00
read,key-6,56.00,404,false,0,0.00
read,key-1,2.26,404,false,0,0.00
read,key-9,54.14,404,false,0,0.00
read,key-5,57.63,404,false,0,0.00
read,key-3,55.87,404,false,0,0.00
read,key-19,57.25,404,false,0,0.00
read,key-16,3.63,200,false,1,165.80
read,key-1,53.96,404,false,0,0.00
read,key-19,1.84,404,false,0,0.00
read,key-13,56.31,404,false,0,0.00
read,key-9,53.86,404,false,0,0.00
read,key-1,3.47,404,false,0,0.00
read,key-16,53.17,200,false,1,174.34
read,key-7,52.53,404,false,0,0.00
read,key-17,51.92,404,false,0,0.00
read,key-19,3.46,404,false,0,0.00
read,key-1,52.10,404,false,0,0.00
read,key-19,53.91,404,false,0,0.00
read,key-16,52.67,200,false,1,196.82
read,key-5,2.20,404,false,0,0.00
read,key-16,53.75,200,false,1,197.90
read,key-15,54.36,404,false,0,0.00
read,key-4,3.19,404,false,0,0.00
read,key-1,53.18,404,false,0,0.00
read,key-9,53.68,404,false,0,0.00
read,key-2,53.97,404,false,0,0.00
read,key-6,53.71,404,false,0,0.00
read,key-18,54.23,404,false,0,0.00
read,key-5,54.99,404,false,0,0.00
read,key-5,2.09,404,false,0,0.00
read,key-13,56.27,404,false,0,0.00
read,key-3,57.31,404,false,0,0.00
read,key-4,58.61,404,false,0,0.00
read,key-9,57.41,404,false,0,0.00
read,key-18,56.20,404,false,0,0.00
read,key-8,56.40,404,false,0,0.00
read,key-16,53.79,200,false,1,228.13
read,key-11,51.48,404,false,0,0.00
read,key-13,5.96,404,false,0,0.00
read,key-5,51.21,404,false,0,0.00
read,key-10,52.19,404,false,0,0.00
read,key-14,51.66,404,false,0,0.00
read,key-12,53.25,404,false,0,0.00
read,key-1,51.62,404,false,0,0.00
read,key-2,54.49,404,false,0,0.00
