type,key,latency_ms,status_code,stale,version,rw_interval_ms
read,key-12,19.23,200,false,44,0.00
write,key-13,321.04,201,false,48,0.00
write,key-9,321.04,201,false,51,0.00
write,key-11,323.48,201,false,49,0.00
write,key-10,327.37,201,false,50,0.00
write,key-12,334.89,201,false,45,0.00
write,key-3,335.43,201,false,43,0.00
write,key-13,335.43,201,false,48,0.00
write,key-4,335.43,201,false,52,0.00
write,key-6,335.43,201,false,51,0.00
write,key-14,335.59,201,false,46,0.00
write,key-3,342.73,201,false,43,0.00
write,key-19,343.24,201,false,48,0.00
write,key-8,343.24,201,false,52,0.00
write,key-18,346.85,201,false,49,0.00
write,key-4,347.38,201,false,52,0.00
write,key-7,346.85,201,false,51,0.00
write,key-9,351.40,201,false,52,0.00
write,key-14,353.12,201,false,46,0.00
write,key-5,332.08,201,false,54,0.00
write,key-14,352.58,201,false,47,0.00
read,key-1,17.04,200,false,42,0.00
read,key-8,1.05,200,false,52,15.47
write,key-1,310.40,201,false,42,0.00
write,key-0,312.55,201,false,53,0.00
write,key-18,310.11,201,false,50,0.00
read,key-17,7.22,200,false,41,0.00
write,key-18,306.14,201,false,50,0.00
write,key-1,313.66,201,false,42,0.00
write,key-17,306.65,201,false,41,0.00
write,key-11,306.93,201,false,50,0.00
write,key-5,306.93,201,false,55,0.00
read,key-15,4.28,200,false,44,0.00
write,key-7,303.11,201,false,52,0.00
write,key-18,312.93,201,false,50,0.00
write,key-19,309.44,201,false,49,0.00
write,key-7,302.50,201,false,52,0.00
read,key-18,2.51,200,false,50,0.66
read,key-4,3.18,200,false,52,304.65
write,key-6,306.75,201,false,52,0.00
write,key-7,308.68,201,false,53,0.00
write,key-7,311.44,201,false,53,0.00
write,key-1,312.69,201,false,42,0.00
write,key-19,311.48,201,false,49,0.00
write,key-7,314.99,201,false,54,0.00
write,key-15,318.14,201,false,43,0.00
write,key-15,312.89,201,false,44,0.00
write,key-19,304.38,201,false,50,0.00
write,key-10,320.39,201,false,51,0.00
write,key-19,315.33,201,false,50,0.00
write,key-1,312.95,201,false,43,0.00
write,key-11,320.39,201,false,51,0.00
write,key-15,307.16,201,false,45,0.00
write,key-8,305.00,201,false,53,0.00
write,key-5,308.68,201,false,56,0.00
write,key-9,309.68,201,false,53,0.00
write,key-13,312.20,201,false,49,0.00
write,key-0,312.20,201,false,54,0.00
write,key-12,309.02,201,false,46,0.00
write,key-12,301.97,201,false,46,0.00
read,key-7,3.52,200,false,54,288.75
write,key-19,312.81,201,false,50,0.00
write,key-18,314.32,201,false,51,0.00
write,key-17,307.54,201,false,42,0.00
write,key-19,303.96,201,false,50,0.00
write,key-4,303.22,201,false,53,0.00
write,key-17,317.23,201,false,42,0.00
write,key-13,314.55,201,false,49,0.00
read,key-8,3.01,200,false,53,30.67
read,key-1,8.85,200,false,43,42.05
write,key-11,302.66,201,false,52,0.00
write,key-16,310.74,201,false,48,0.00
write,key-12,303.20,201,false,47,0.00
read,key-19,2.81,200,false,50,284.14
write,key-6,312.76,201,false,53,0.00
write,key-17,309.24,201,false,43,0.00
