type,key,latency_ms,status_code,stale,version,rw_interval_ms
write,key-10,22.98,201,false,14,0.00
write,key-11,1.08,201,false,17,0.00
write,key-15,1.04,201,false,11,0.00
write,key-8,1.05,201,false,12,0.00
write,key-6,30.43,201,false,10,0.00
write,key-7,32.02,201,false,12,0.00
write,key-15,33.09,201,false,12,0.00
write,key-8,33.62,201,false,13,0.00
write,key-13,36.04,201,false,12,0.00
write,key-17,37.63,201,false,13,0.00
write,key-5,0.52,201,false,13,0.00
write,key-18,39.22,201,false,8,0.00
write,key-11,40.99,201,false,18,0.00
write,key-19,42.83,201,false,14,0.00
write,key-16,1.11,201,false,15,0.00
write,key-5,44.51,201,false,14,0.00
write,key-17,0.57,201,false,14,0.00
write,key-12,0.56,201,false,8,0.00
write,key-14,1.08,201,false,14,0.00
read,key-11,71.00,404,false,0,0.00
write,key-19,0.51,201,false,15,0.00
read,key-16,71.51,404,false,0,0.00
write,key-19,0.75,201,false,16,0.00
write,key-7,0.75,201,false,13,0.00
write,key-8,0.52,201,false,14,0.00
write,key-14,0.52,201,false,15,0.00
write,key-6,0.54,201,false,11,0.00
read,key-19,75.08,404,false,0,0.00
read,key-2,75.60,404,false,0,0.00
write,key-1,0.52,201,false,13,0.00
read,key-12,76.24,404,false,0,0.00
write,key-14,1.14,201,false,16,0.00
write,key-14,0.53,201,false,17,0.00
read,key-8,78.33,404,false,0,0.00
read,key-5,79.40,404,false,0,0.00
write,key-2,1.07,201,false,14,0.00
read,key-14,82.05,404,false,0,0.00
read,key-1,92.04,200,true,12,16.43
read,key-1,53.49,200,true,12,18.88
read,key-4,54.18,200,false,6,0.00
write,key-4,1.04,201,false,7,0.00
read,key-3,68.36,404,false,0,0.00
write,key-14,0.57,201,false,18,0.00
write,key-2,0.66,201,false,15,0.00
read,key-4,67.92,404,false,0,0.00
read,key-10,67.01,404,false,0,0.00
write,key-17,1.28,201,false,15,0.00
read,key-2,68.21,404,false,0,0.00
read,key-18,69.71,404,false,0,0.00
read,key-10,64.83,404,false,0,0.00
read,key-15,67.91,404,false,0,0.00
write,key-0,6.73,201,false,11,0.00
write,key-19,3.03,201,false,17,0.00
read,key-7,62.93,404,false,0,0.00
write,key-8,0.51,201,false,15,0.00
read,key-17,61.87,404,false,0,0.00
read,key-14,53.66,200,true,15,30.33
read,key-17,55.63,404,false,0,0.00
read,key-19,54.12,404,false,0,0.00
read,key-15,54.62,404,false,0,0.00
read,key-16,56.29,404,false,0,0.00
read,key-11,53.55,404,false,0,0.00
write,key-0,4.55,201,false,12,0.00
write,key-2,2.17,201,false,16,0.00
read,key-6,54.67,404,false,0,0.00
write,key-15,2.24,201,false,13,0.00
write,key-3,6.08,201,false,9,0.00
read,key-6,54.98,404,false,0,0.00
write,key-19,4.59,201,false,18,0.00
write,key-14,1.79,201,false,19,0.00
write,key-12,1.79,201,false,9,0.00
read,key-3,54.56,404,false,0,0.00
read,key-17,54.26,404,false,0,0.00
read,key-19,53.52,200,true,16,13.26
read,key-1,57.39,404,false,0,0.00
write,key-17,0.52,201,false,16,0.00
read,key-1,53.73,200,false,13,77.16
write,key-16,0.89,201,false,16,0.00
write,key-19,0.89,201,false,19,0.00
write,key-15,0.50,201,false,14,0.00
write,key-19,0.88,201,false,20,0.00
read,key-11,55.30,404,false,0,0.00
read,key-4,53.79,200,false,7,65.14
read,key-14,53.79,200,true,18,20.78
write,key-16,1.07,201,false,17,0.00
write,key-4,1.07,201,false,8,0.00
write,key-14,0.53,201,false,20,0.00
read,key-9,58.93,404,false,0,0.00
write,key-6,0.52,201,false,12,0.00
read,key-1,56.96,404,false,0,0.00
write,key-6,0.52,201,false,13,0.00
read,key-0,55.72,404,false,0,0.00
read,key-18,59.95,404,false,0,0.00
write,key-4,1.92,201,false,9,0.00
read,key-18,53.37,200,false,8,140.04
write,key-3,1.05,201,false,10,0.00
write,key-19,0.54,201,false,21,0.00
read,key-15,56.66,404,false,0,0.00
write,key-8,1.15,201,false,16,0.00
read,key-9,56.68,404,false,0,0.00
read,key-16,58.28,404,false,0,0.00
write,key-11,0.52,201,false,19,0.00
write,key-9,0.52,201,false,17,0.00
read,key-17,57.68,404,false,0,0.00
read,key-10,55.32,404,false,0,0.00
read,key-4,54.49,404,false,0,0.00
write,key-19,2.34,201,false,22,0.00
write,key-12,2.82,201,false,10,0.00
read,key-8,54.80,404,false,0,0.00
write,key-4,5.04,201,false,10,0.00
write,key-3,3.58,201,false,11,0.00
read,key-11,53.56,404,false,0,0.00
write,key-16,1.12,201,false,18,0.00
read,key-5,54.74,404,false,0,0.00
read,key-9,53.02,200,true,16,14.81
read,key-19,54.92,404,false,0,0.00
read,key-3,54.92,404,false,0,0.00
write,key-12,1.06,201,false,11,0.00
write,key-6,1.06,201,false,14,0.00
read,key-16,53.21,200,true,16,9.58
read,key-15,54.93,404,false,0,0.00
read,key-6,56.05,404,false,0,0.00
read,key-16,53.39,200,true,17,17.04
read,key-19,56.07,404,false,0,0.00
write,key-15,0.52,201,false,15,0.00
read,key-16,54.96,404,false,0,0.00
write,key-12,1.13,201,false,12,0.00
read,key-11,53.66,404,false,0,0.00
write,key-9,2.23,201,false,18,0.00
write,key-15,1.64,201,false,16,0.00
write,key-7,1.34,201,false,14,0.00
write,key-9,3.61,201,false,19,0.00
write,key-12,1.10,201,false,13,0.00
read,key-0,54.47,404,false,0,0.00
write,key-13,1.14,201,false,13,0.00
write,key-11,1.08,201,false,20,0.00
write,key-10,0.51,201,false,15,0.00
write,key-13,0.53,201,false,14,0.00
write,key-9,0.53,201,false,20,0.00
write,key-12,0.53,201,false,14,0.00
write,key-15,0.53,201,false,17,0.00
write,key-5,1.05,201,false,15,0.00
write,key-8,0.52,201,false,17,0.00
write,key-6,0.52,201,false,15,0.00
read,key-16,58.17,404,false,0,0.00
read,key-6,53.40,200,true,13,5.76
write,key-13,0.52,201,false,15,0.00
write,key-0,1.12,201,false,13,0.00
read,key-11,57.86,404,false,0,0.00
write,key-14,0.64,201,false,21,0.00
write,key-9,1.19,201,false,21,0.00
read,key-8,57.23,404,false,0,0.00
read,key-9,58.10,404,false,0,0.00
write,key-15,1.26,201,false,18,0.00
read,key-7,56.44,404,false,0,0.00
write,key-6,1.14,201,false,16,0.00
read,key-8,54.72,404,false,0,0.00
read,key-5,54.28,404,false,0,0.00
write,key-17,1.74,201,false,17,0.00
read,key-10,53.83,404,false,0,0.00
write,key-0,1.09,201,false,14,0.00
read,key-18,54.93,404,false,0,0.00
read,key-12,55.53,404,false,0,0.00
read,key-12,54.53,404,false,0,0.00
read,key-5,53.47,200,true,14,22.58
write,key-19,0.62,201,false,23,0.00
read,key-10,53.14,200,true,14,30.68
write,key-11,4.32,201,false,21,0.00
write,key-8,0.54,201,false,18,0.00
write,key-1,0.54,201,false,14,0.00
write,key-7,0.54,201,false,15,0.00
read,key-13,55.25,404,false,0,0.00
read,key-18,54.21,404,false,0,0.00
read,key-15,57.95,404,false,0,0.00
write,key-12,1.06,201,false,15,0.00
read,key-15,56.85,404,false,0,0.00
write,key-11,0.52,201,false,22,0.00
write,key-1,1.09,201,false,15,0.00
read,key-3,55.04,404,false,0,0.00
write,key-11,0.53,201,false,23,0.00
read,key-17,55.75,404,false,0,0.00
write,key-11,1.05,201,false,24,0.00
read,key-14,52.60,200,true,20,50.32
write,key-8,1.09,201,false,19,0.00
read,key-12,56.64,404,false,0,0.00
read,key-16,56.64,404,false,0,0.00
read,key-11,58.26,404,false,0,0.00
write,key-5,1.06,201,false,16,0.00
read,key-19,55.15,404,false,0,0.00
write,key-1,0.54,201,false,16,0.00
write,key-18,0.49,201,false,9,0.00
read,key-11,56.31,404,false,0,0.00
write,key-2,1.91,201,false,17,0.00
read,key-11,53.66,200,true,20,12.97
read,key-18,57.67,404,false,0,0.00
read,key-2,56.47,404,false,0,0.00
write,key-5,1.89,201,false,17,0.00
write,key-6,0.51,201,false,17,0.00
write,key-2,1.51,201,false,18,0.00
write,key-12,3.14,201,false,16,0.00
read,key-16,53.13,200,false,18,115.59
write,key-16,0.69,201,false,19,0.00
read,key-9,53.70,200,false,21,66.65
read,key-14,55.96,404,false,0,0.00
write,key-15,1.71,201,false,19,0.00
write,key-1,1.71,201,false,17,0.00
write,key-3,0.57,201,false,12,0.00
write,key-7,1.10,201,false,16,0.00
write,key-15,0.54,201,false,20,0.00
read,key-7,54.09,404,false,0,0.00
read,key-6,54.62,404,false,0,0.00
read,key-9,54.85,404,false,0,0.00
read,key-5,54.31,404,false,0,0.00
read,key-2,53.91,404,false,0,0.00
read,key-16,54.84,404,false,0,0.00
read,key-3,54.94,404,false,0,0.00
read,key-15,53.33,200,true,18,31.54
read,key-2,52.65,200,true,16,40.32
write,key-13,1.26,201,false,16,0.00
read,key-7,56.30,404,false,0,0.00
read,key-4,55.84,404,false,0,0.00
read,key-1,57.53,404,false,0,0.00
read,key-4,56.33,404,false,0,0.00
read,key-7,57.32,404,false,0,0.00
read,key-14,59.98,404,false,0,0.00
