type,key,latency_ms,status_code,stale,version,rw_interval_ms
read,key-10,20.55,200,false,1,0.00
read,key-13,21.10,404,false,0,0.00
read,key-7,21.70,404,false,0,0.00
read,key-6,22.31,200,false,1,0.00
read,key-1,1.75,404,false,0,0.00
read,key-4,23.52,404,false,0,0.00
read,key-8,24.61,200,false,2,0.00
read,key-18,1.11,404,false,0,0.00
read,key-6,25.79,200,false,1,0.00
read,key-2,26.88,404,false,0,0.00
read,key-1,2.84,404,false,0,0.00
read,key-0,0.60,200,false,1,0.00
read,key-13,28.05,404,false,0,0.00
read,key-7,0.57,404,false,0,0.00
read,key-18,29.17,404,false,0,0.00
read,key-2,30.88,404,false,0,0.00
read,key-16,33.07,200,false,1,0.00
read,key-17,32.54,200,false,1,0.00
read,key-10,35.20,200,false,1,0.00
read,key-4,35.20,404,false,0,0.00
read,key-4,0.53,404,false,0,0.00
read,key-3,36.39,404,false,0,0.00
read,key-12,38.54,200,false,1,0.00
read,key-8,39.62,200,false,2,0.00
read,key-17,19.05,200,false,1,0.00
read,key-11,19.70,404,false,0,0.00
read,key-2,0.65,404,false,0,0.00
read,key-17,20.41,200,false,1,0.00
read,key-12,19.13,200,false,1,0.00
read,key-14,0.54,404,false,0,0.00
read,key-7,2.15,404,false,0,0.00
read,key-16,19.10,200,false,1,0.00
read,key-13,4.16,404,false,0,0.00
read,key-9,0.00,200,false,1,0.00
read,key-18,1.52,404,false,0,0.00
read,key-1,20.15,404,false,0,0.00
read,key-6,19.48,200,false,2,0.00
read,key-14,21.22,404,false,0,0.00
read,key-1,0.56,404,false,0,0.00
read,key-9,19.46,404,false,0,0.00
read,key-3,17.97,404,false,0,0.00
read,key-6,17.43,200,false,1,0.00
read,key-2,20.17,404,false,0,0.00
read,key-19,3.48,404,false,0,0.00
read,key-17,1.12,200,false,1,0.00
read,key-3,16.97,404,false,0,0.00
read,key-10,1.06,200,false,1,0.00
read,key-13,18.03,404,false,0,0.00
read,key-17,0.52,200,false,1,0.00
read,key-13,17.88,404,false,0,0.00
read,key-18,0.51,404,false,0,0.00
read,key-3,15.04,404,false,0,0.00
read,key-17,11.98,200,false,1,0.00
read,key-9,0.53,404,false,0,0.00
read,key-4,17.42,404,false,0,0.00
read,key-16,17.21,200,false,1,0.00
read,key-17,1.10,200,false,1,0.00
read,key-13,19.65,404,false,0,0.00
read,key-2,17.76,404,false,0,0.00
read,key-19,18.28,404,false,0,0.00
read,key-0,17.63,200,false,1,0.00
read,key-11,18.16,404,false,0,0.00
read,key-13,17.56,404,false,0,0.00
read,key-15,1.57,404,false,0,0.00
read,key-10,20.41,200,false,1,0.00
read,key-11,17.18,404,false,0,0.00
read,key-0,1.22,200,false,1,0.00
read,key-9,17.22,404,false,0,0.00
read,key-13,19.04,404,false,0,0.00
read,key-11,1.29,404,false,0,0.00
read,key-6,16.49,200,false,1,0.00
read,key-16,3.48,200,false,1,0.00
read,key-13,12.07,404,false,0,0.00
read,key-19,11.76,404,false,0,0.00
read,key-13,13.69,404,false,0,0.00
read,key-18,11.26,404,false,0,0.00
read,key-12,11.01,200,false,1,0.00
read,key-2,10.53,404,false,0,0.00
read,key-9,8.78,200,false,1,0.00
read,key-6,0.52,200,false,2,0.00
read,key-1,0.51,404,false,0,0.00
read,key-16,10.62,200,false,1,0.00
read,key-17,10.10,200,false,1,0.00
read,key-3,10.57,404,false,0,0.00
read,key-12,0.55,200,false,1,0.00
read,key-13,11.12,404,false,0,0.00
read,key-15,9.43,404,false,0,0.00
read,key-0,1.66,200,false,1,0.00
read,key-11,12.42,404,false,0,0.00
read,key-13,12.93,404,false,0,0.00
